# canonical<TAB>kind<TAB>surface forms (| separated). kind: action | pattern | clinical | processing
# 표기 정규화 원칙: canonical 은 항상 한국어. 한자/이표기는 surface 로만 둔다.
해표	action	解表|發汗解表|해표|발한해표
청열	action	淸熱|清熱|청열|瀉火|사화|淸熱解毒|청열해독
사하	action	瀉下|사하|攻下|공하|潤腸通便|윤장통변
거풍습	action	祛風濕|거풍습|祛風|거풍|勝濕|승습
방향화습	action	芳香化濕|방향화습|化濕|화습|燥濕|조습
이수삼습	action	利水滲濕|이수삼습|利水|이수|利尿|이뇨|滲濕|삼습|利水消腫|이수소종
온리	action	溫裏|온리|溫中|온중|散寒|산한|回陽|회양
이기	action	理氣|이기|行氣|행기|疏肝|소간|降氣|강기
소식	action	消食|소식|消積|소적|健胃|건위
구충	action	驅蟲|구충|殺蟲|살충
지혈	action	止血|지혈|收斂止血|수렴지혈|化瘀止血|화어지혈
활혈거어	action	活血祛瘀|활혈거어|活血|활혈|破血|파혈|化瘀|화어|散瘀|산어
화담	action	化痰|화담|祛痰|거담|豁痰|활담
지해평천	action	止咳平喘|지해평천|止咳|지해|平喘|평천|定喘|정천
안신	action	安神|안신|寧心|영심|養心安神|양심안신|重鎭安神|중진안신
평간식풍	action	平肝熄風|평간식풍|平肝|평간|潛陽|잠양|熄風|식풍|鎭痙|진경
개규	action	開竅|개규|醒神|성신|通竅|통규
보기	action	補氣|보기|益氣|익기|健脾益氣|건비익기
보혈	action	補血|보혈|養血|양혈
보양	action	補陽|보양|溫陽|온양|壯陽|장양|溫腎|온신|助陽|조양|暖腎|난신
보음	action	補陰|보음|滋陰|자음|養陰|양음|生津|생진|潤燥|윤조
수렴고삽	action	收斂固澀|수렴고삽|收斂|수렴|固澀|고삽|澀腸|삽장|固精|고정|縮尿|축뇨|止汗|지한|斂汗|염한
온비	action	溫脾|온비
청간명목	action	淸肝明目|清肝明目|청간명목|明目|명목
소종	action	消腫|소종|散結|산결|軟堅|연견
지통	action	止痛|지통|定痛|정통|緩急止痛|완급지통
용토	action	涌吐|용토|催吐|최토
기허	pattern	氣虛|기허|中氣不足|중기부족|脾氣虛|비기허|肺氣虛|폐기허
혈허	pattern	血虛|혈허|營血不足|영혈부족
음허	pattern	陰虛|음허|陰液不足|음액부족|津液不足|진액부족
양허	pattern	陽虛|양허
비양허	pattern	脾陽虛|비양허|脾胃虛寒|비위허한
신양허	pattern	腎陽虛|신양허|命門火衰|명문화쇠
신음허	pattern	腎陰虛|신음허|肝腎陰虛|간신음허
비신허한	pattern	脾腎虛寒|비신허한|脾腎陽虛|비신양허
하원불고	pattern	下元不固|하원불고|腎氣不固|신기불고
간기울	pattern	肝氣鬱結|간기울결|肝鬱|간울|氣滯|기체|肝氣鬱|간기울
어혈	pattern	瘀血|어혈|血瘀|혈어|瘀滯|어체
담습	pattern	痰濕|담습|痰飮|담음|濕痰|습담
습열	pattern	濕熱|습열
한습	pattern	寒濕|한습
식적	pattern	食積|식적|飮食積滯|음식적체|宿食|숙식
혈열	pattern	血熱|혈열|血熱妄行|혈열망행
음허화왕	pattern	陰虛火旺|음허화왕|虛火上炎|허화상염|陰虛陽亢|음허양항
간양상항	pattern	肝陽上亢|간양상항|肝火上炎|간화상염
기함	pattern	中氣下陷|중기하함|氣陷|기함|脫肛|탈항
불면	clinical	不眠|불면|失眠|실면|不寐|불매
건망	clinical	健忘|건망|기억력저하
심계	clinical	心悸|심계|驚悸|경계|怔忡|정충
야뇨	clinical	夜尿|야뇨|遺尿|유뇨|小兒遺尿|소아유뇨
빈뇨	clinical	頻尿|빈뇨|小便頻數|소변빈삭
유정	clinical	遺精|유정|滑精|활정|夢泄|몽설
대하	clinical	帶下|대하|白帶|백대
변비	clinical	便秘|변비|大便秘結|대변비결|腸燥便秘|장조변비
설사	clinical	泄瀉|설사|久瀉|구사|下痢|하리|痢疾|이질
자한	clinical	自汗|자한
도한	clinical	盜汗|도한
기침	clinical	咳嗽|해수|咳喘|해천|喘息|천식|咳|기침
요통	clinical	腰痛|요통|腰膝酸軟|요슬산연|腰膝軟弱|요슬연약
현훈	clinical	眩暈|현훈|頭暈|두훈|眩量
이명	clinical	耳鳴|이명|耳聾|이롱
두통	clinical	頭痛|두통
부종	clinical	浮腫|부종|水腫|수종
월경부조	clinical	月經不調|월경부조|經閉|경폐|月經過多|월경과다|痛經|통경|생리통
붕루	clinical	崩漏|붕루|子宮出血|자궁출혈
산후복통	clinical	産後腹痛|산후복통|産後瘀血|산후어혈
소갈	clinical	消渴|소갈|口渴|구갈|煩渴|번갈
식욕부진	clinical	食慾不振|식욕부진|食少|식소|不飢|불기|納呆|납매
구토	clinical	嘔吐|구토|惡心|오심|反胃|반위
출혈	clinical	吐血|토혈|衄血|뉵혈|便血|변혈|尿血|요혈|咯血|각혈
타액과다	clinical	多唾|다타|口涎|구연|流涎|유연
초	processing	炒|초|微炒|미초|炒炭|초탄|炒黃|초황
자	processing	炙|자|蜜炙|밀자|酒炙|주자|醋炙|초자
염수자	processing	鹽水炙|염수자|鹽炙|염자|鹽水炒|염수초
주제	processing	酒製|주제|酒蒸|주증|酒洗|주세
초제	processing	醋製|초제|醋炒|초초
포제	processing	炮製|포제|修治|수치|法製|법제
수비	processing	水飛|수비
하	processing	煆|하|煅|煆用
선전	processing	先煎|선전|久煎|구전
